states,year,quarter,brand,user_counts,percentage
Andaman & Nicobar Islands,2020,1,Xiaomi,6803,0.239812
Andaman & Nicobar Islands,2020,1,Vivo,5880,0.207276
Andaman & Nicobar Islands,2020,1,Samsung,5335,0.188064
Andaman & Nicobar Islands,2020,1,Oppo,2557,0.090137
Andaman & Nicobar Islands,2020,1,Realme,1511,0.053264
Andaman & Nicobar Islands,2020,1,OnePlus,1184,0.041737
Andaman & Nicobar Islands,2020,1,Huawei,891,0.031409
Andaman & Nicobar Islands,2020,1,Apple,735,0.025909
Andaman & Nicobar Islands,2020,1,Motorola,715,0.025204
Andaman & Nicobar Islands,2020,1,Lenovo,500,0.017625
Andaman & Nicobar Islands,2020,1,Others,2257,0.079561
Andaman & Nicobar Islands,2020,2,Xiaomi,7805,0.238612
Andaman & Nicobar Islands,2020,2,Vivo,7122,0.217732
Andaman & Nicobar Islands,2020,2,Samsung,6030,0.184347
Andaman & Nicobar Islands,2020,2,Oppo,2976,0.090981
Andaman & Nicobar Islands,2020,2,Realme,1761,0.053837
Andaman & Nicobar Islands,2020,2,OnePlus,1271,0.038857
Andaman & Nicobar Islands,2020,2,Huawei,1005,0.030725
Andaman & Nicobar Islands,2020,2,Apple,792,0.024213
Andaman & Nicobar Islands,2020,2,Motorola,779,0.023815
Andaman & Nicobar Islands,2020,2,Lenovo,552,0.016876
Andaman & Nicobar Islands,2020,2,Others,2617,0.080006
Andaman & Nicobar Islands,2020,3,Xiaomi,9794,0.236942
Andaman & Nicobar Islands,2020,3,Vivo,9556,0.231184
Andaman & Nicobar Islands,2020,3,Samsung,7572,0.183186
Andaman & Nicobar Islands,2020,3,Oppo,3730,0.090238
Andaman & Nicobar Islands,2020,3,Realme,2285,0.05528
Andaman & Nicobar Islands,2020,3,OnePlus,1440,0.034837
Andaman & Nicobar Islands,2020,3,Huawei,1213,0.029346
Andaman & Nicobar Islands,2020,3,Motorola,907,0.021943
Andaman & Nicobar Islands,2020,3,Apple,870,0.021048
Andaman & Nicobar Islands,2020,3,Lenovo,606,0.014661
Andaman & Nicobar Islands,2020,3,Others,3362,0.081335
Andaman & Nicobar Islands,2020,4,Xiaomi,12398,0.236621
Andaman & Nicobar Islands,2020,4,Vivo,12275,0.234274
Andaman & Nicobar Islands,2020,4,Samsung,9938,0.189671
Andaman & Nicobar Islands,2020,4,Oppo,4723,0.09014
Andaman & Nicobar Islands,2020,4,Realme,2996,0.05718
Andaman & Nicobar Islands,2020,4,OnePlus,1638,0.031262
Andaman & Nicobar Islands,2020,4,Huawei,1472,0.028094
Andaman & Nicobar Islands,2020,4,Motorola,1032,0.019696
Andaman & Nicobar Islands,2020,4,Apple,973,0.01857
Andaman & Nicobar Islands,2020,4,Lenovo,708,0.013512
Andaman & Nicobar Islands,2020,4,Others,4243,0.080979
Andaman & Nicobar Islands,2021,1,Vivo,13812,0.239136
Andaman & Nicobar Islands,2021,1,Xiaomi,13714,0.237439
Andaman & Nicobar Islands,2021,1,Samsung,10861,0.188043
Andaman & Nicobar Islands,2021,1,Oppo,5158,0.089304
Andaman & Nicobar Islands,2021,1,Realme,3419,0.059195
Andaman & Nicobar Islands,2021,1,OnePlus,1773,0.030697
Andaman & Nicobar Islands,2021,1,Huawei,1575,0.027269
Andaman & Nicobar Islands,2021,1,Motorola,1062,0.018387
Andaman & Nicobar Islands,2021,1,Apple,1056,0.018283
