states,year,quarter,district,trans_counts,amount
Assam,2019,1,Karimganj District,76238,140750684.49
Assam,2019,1,Bongaigaon District,91061,138479281.39
Assam,2019,1,Dima Hasao District,26119,51318304.48
Assam,2019,1,Baksa District,75377,147648364.4
Assam,2019,1,Charaideo District,49174,75457156.84
Assam,2019,1,Darrang District,76056,137391656.76
Assam,2019,1,Kamrup Metropolitan District,1306775,2605380335.92
Assam,2019,1,Hailakandi District,51401,76319460.14
Assam,2019,1,Barpeta District,262834,416977891.52
Assam,2019,1,Goalpara District,113947,191744923.22
Assam,2019,1,Biswanath District,59752,91143579.39
Assam,2019,1,Jorhat District,125165,215041144.38
Assam,2019,2,Tinsukia District,148294,323303192.87
Assam,2019,2,Lakhimpur District,88545,154536738.93
Assam,2019,2,Kamrup District,176995,334724712.07
Assam,2019,2,Kokrajhar District,58445,136120566.47
Assam,2019,2,Karbi Anglong District,62877,150114998.05
Assam,2019,2,Sivasagar District,74192,134981544.55
Assam,2019,2,Dibrugarh District,169357,356524668.62
Assam,2019,2,South Salmara Mancachar District,32449,69876713.57
Assam,2019,2,Nagaon District,231423,422774561.36
Assam,2019,2,Dhubri District,101070,201203482.81
Assam,2019,2,Golaghat District,89403,157511569.78
Assam,2019,2,Udalguri District,51326,108912182.94
Assam,2019,2,Majuli District,13800,17825869.55
Assam,2019,2,Sonitpur District,192707,444337498.77
Assam,2019,2,Hojai District,63598,125015617.43
Assam,2019,2,Marigaon District,130459,235342996.59
Assam,2019,2,Chirang District,31621,65747046.12
Assam,2019,2,Cachar District,177976,335126276.21
Assam,2019,2,Nalbari District,64729,108268162.2
Assam,2019,2,West Karbi Anglong District,10260,15373392.66
Assam,2019,2,Dhemaji District,66560,150306788.81
Assam,2019,2,Karimganj District,70635,144404980.61
Assam,2019,2,Bongaigaon District,80689,155642822.44
Assam,2019,2,Dima Hasao District,28118,57300032.73
Assam,2019,2,Baksa District,70162,150019543.79
Assam,2019,2,Charaideo District,45010,85061629.87
Assam,2019,2,Darrang District,70387,140869866.57
Assam,2019,2,Kamrup Metropolitan District,2488968,5089657876.79
Assam,2019,2,Hailakandi District,47321,79845847.47
Assam,2019,2,Barpeta District,228864,466786096.4
Assam,2019,2,Goalpara District,97473,201643499.0
Assam,2019,2,Biswanath District,61472,103930302.37
Assam,2019,2,Jorhat District,129744,231878110.72
Assam,2019,3,Tinsukia District,196245,357008533.55
Assam,2019,3,Lakhimpur District,115808,182745177.3
Assam,2019,3,Kamrup District,222439,383883901.25
Assam,2019,3,Kokrajhar District,77004,153786698.22
Assam,2019,3,Karbi Anglong District,83280,173411321.71
Assam,2019,3,Sivasagar District,101503,160505383.6
Assam,2019,3,Dibrugarh District,230118,425077484.13
Assam,2019,3,South Salmara Mancachar District,32727,72591552.54
Assam,2019,3,Nagaon District,258566,491551326.22
Assam,2019,3,Dhubri District,115968,235503727.27
Assam,2019,3,Golaghat District,121795,194779142.64
Assam,2019,3,Udalguri District,69169,133441413.33
Assam,2019,3,Majuli District,19170,22241164.41
Assam,2019,3,Sonitpur District,257623,533288953.03
Assam,2019,3,Hojai District,84120,154505233.54
Assam,2019,3,Marigaon District,116364,242626706.44
Assam,2019,3,Chirang District,45161,87808950.14
Assam,2019,3,Cachar District,242781,426502976.77
Assam,2019,3,Nalbari District,82814,133051985.19
Assam,2019,3,West Karbi Anglong District,14546,17754122.58
Assam,2019,3,Dhemaji District,90986,171587706.62
Assam,2019,3,Karimganj District,96450,167756855.42
Assam,2019,3,Bongaigaon District,104703,184020775.96
Assam,2019,3,Dima Hasao District,41878,80649915.5
Assam,2019,3,Baksa District,92868,175122110.85
Assam,2019,3,Charaideo District,59490,103441007.09
Assam,2019,3,Darrang District,90156,171891466.68
Assam,2019,3,Kamrup Metropolitan District,2188998,6080999088.2
Assam,2019,3,Hailakandi District,62134,95753332.84
Assam,2019,3,Barpeta District,262253,505242250.26
Assam,2019,3,Goalpara District,119928,234306376.69
Assam,2019,3,Biswanath District,78058,123277846.07
Assam,2019,3,Jorhat District,167468,274329134.39
Assam,2019,4,Tinsukia District,224113,423685126.95
Assam,2019,4,Lakhimpur District,129734,211979144.7
Assam,2019,4,Kamrup District,249708,461559258.77
Assam,2019,4,Kokrajhar District,90371,198548447.25
Assam,2019,4,Karbi Anglong District,95122,214907046.11
