states,year,quarter,trans_type,trans_counts,amount
Andaman & Nicobar Islands,2021,4,Others,2855,2453640.14
Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.73
Andaman & Nicobar Islands,2022,1,Merchant payments,284298,370091558.68
Andaman & Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66
Andaman & Nicobar Islands,2022,1,Financial Services,1757,2869682.02
Andaman & Nicobar Islands,2022,1,Others,2643,2440321.98
Andaman & Nicobar Islands,2022,2,Merchant payments,449540,510838980.91
Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.46
Andaman & Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.62
Andaman & Nicobar Islands,2022,2,Financial Services,1448,2089862.39
Andaman & Nicobar Islands,2022,2,Others,3108,2449496.71
Andaman & Nicobar Islands,2022,3,Merchant payments,716105,693438186.3
Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56
Andaman & Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.63
Andaman & Nicobar Islands,2022,3,Financial Services,1814,2166304.98
Andaman & Nicobar Islands,2022,3,Others,3477,2744060.67
Andaman & Nicobar Islands,2022,4,Merchant payments,956536,906365300.66
Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.83
Andaman & Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.67
Andaman & Nicobar Islands,2022,4,Financial Services,2499,3533987.23
Andaman & Nicobar Islands,2022,4,Others,3692,3107412.04
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.67
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.18
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.24
Andhra Pradesh,2018,1,Financial Services,204305,44808449.76
Andhra Pradesh,2018,1,Others,395514,287626042.97
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.49
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.9
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.86
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81
Andhra Pradesh,2018,2,Others,322063,328092346.58
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.67
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.89
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.51
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57
Andhra Pradesh,2018,3,Others,348725,284248675.57
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.14
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.47
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.57
Andhra Pradesh,2018,4,Financial Services,400837,57178116.4
Andhra Pradesh,2018,4,Others,389411,315211361.26
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.26
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.38
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.37
Andhra Pradesh,2019,1,Financial Services,416325,47150177.53
Andhra Pradesh,2019,1,Others,361263,284937624.54
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.91
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.68
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77
Andhra Pradesh,2019,2,Others,448802,361492238.4
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.52
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.6
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.07
Andhra Pradesh,2019,3,Financial Services,122270,29778183.03
Andhra Pradesh,2019,3,Others,413437,298142027.59
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.69
