states,year,quarter,trans_type,trans_counts,amount
Dadra & Nagar Haveli & Daman & Diu,2021,2,Merchant payments,802899,430487473.93
Dadra & Nagar Haveli & Daman & Diu,2021,2,Recharge & bill payments,471136,208762964.01
Dadra & Nagar Haveli & Daman & Diu,2021,2,Financial Services,1826,1763792.65
Dadra & Nagar Haveli & Daman & Diu,2021,2,Others,5672,3741204.4
Dadra & Nagar Haveli & Daman & Diu,2021,3,Merchant payments,1312241,706774071.94
Dadra & Nagar Haveli & Daman & Diu,2021,3,Peer-to-peer payments,1262732,3339347400.06
Dadra & Nagar Haveli & Daman & Diu,2021,3,Recharge & bill payments,544322,253199754.87
Dadra & Nagar Haveli & Daman & Diu,2021,3,Financial Services,2065,2252116.64
Dadra & Nagar Haveli & Daman & Diu,2021,3,Others,8110,4365759.28
Dadra & Nagar Haveli & Daman & Diu,2021,4,Merchant payments,2013673,1058989463.17
Dadra & Nagar Haveli & Daman & Diu,2021,4,Peer-to-peer payments,1577168,4202291071.71
Dadra & Nagar Haveli & Daman & Diu,2021,4,Recharge & bill payments,551618,294991582.17
Dadra & Nagar Haveli & Daman & Diu,2021,4,Financial Services,2909,3159306.42
Dadra & Nagar Haveli & Daman & Diu,2021,4,Others,11717,6407962.87
Dadra & Nagar Haveli & Daman & Diu,2022,1,Merchant payments,2507246,1227972829.7
Dadra & Nagar Haveli & Daman & Diu,2022,1,Peer-to-peer payments,1745454,4674787017.54
Dadra & Nagar Haveli & Daman & Diu,2022,1,Recharge & bill payments,538134,326296370.82
Dadra & Nagar Haveli & Daman & Diu,2022,1,Financial Services,2574,2661345.55
Dadra & Nagar Haveli & Daman & Diu,2022,1,Others,9395,5330803.65
Dadra & Nagar Haveli & Daman & Diu,2022,2,Merchant payments,3346697,1536859131.34
Dadra & Nagar Haveli & Daman & Diu,2022,2,Peer-to-peer payments,1861799,5078832140.61
Dadra & Nagar Haveli & Daman & Diu,2022,2,Recharge & bill payments,539562,372921225.43
Dadra & Nagar Haveli & Daman & Diu,2022,2,Financial Services,1849,2131607.72
Dadra & Nagar Haveli & Daman & Diu,2022,2,Others,9864,4415675.72
Dadra & Nagar Haveli & Daman & Diu,2022,3,Merchant payments,3777156,1705567002.06
Dadra & Nagar Haveli & Daman & Diu,2022,3,Peer-to-peer payments,2086741,5382949597.51
Dadra & Nagar Haveli & Daman & Diu,2022,3,Recharge & bill payments,592431,425206924.53
Dadra & Nagar Haveli & Daman & Diu,2022,3,Financial Services,2237,3194409.94
Dadra & Nagar Haveli & Daman & Diu,2022,3,Others,7056,3729425.46
Dadra & Nagar Haveli & Daman & Diu,2022,4,Merchant payments,4415771,1889046056.2
Dadra & Nagar Haveli & Daman & Diu,2022,4,Peer-to-peer payments,2215052,5737539058.4
Dadra & Nagar Haveli & Daman & Diu,2022,4,Recharge & bill payments,548795,426040023.11
Dadra & Nagar Haveli & Daman & Diu,2022,4,Financial Services,2495,3169199.26
Dadra & Nagar Haveli & Daman & Diu,2022,4,Others,7472,3846409.11
Delhi,2018,1,Recharge & bill payments,3947297,1320559612.77
Delhi,2018,1,Peer-to-peer payments,2380820,9125685134.89
Delhi,2018,1,Merchant payments,339809,375393115.19
Delhi,2018,1,Financial Services,136240,45588429.27
Delhi,2018,1,Others,318588,344277514.79
Delhi,2018,2,Recharge & bill payments,4511737,2078183615.8
Delhi,2018,2,Peer-to-peer payments,3542716,14348179103.11
Delhi,2018,2,Merchant payments,837001,631597790.6
Delhi,2018,2,Financial Services,205991,66584728.2
Delhi,2018,2,Others,276278,321754664.5
Delhi,2018,3,Peer-to-peer payments,8557153,22670122888.87
Delhi,2018,3,Recharge & bill payments,5305635,3261844270.54
Delhi,2018,3,Merchant payments,3808395,1048422633.71
Delhi,2018,3,Financial Services,274526,45051151.35
Delhi,2018,3,Others,601339,350405916.15
Delhi,2018,4,Peer-to-peer payments,9973249,32389252494.76
Delhi,2018,4,Merchant payments,9958967,2738429838.94
Delhi,2018,4,Recharge & bill payments,7483633,3961160542.57
Delhi,2018,4,Financial Services,265004,58162003.44
Delhi,2018,4,Others,1506866,575852739.0
Delhi,2019,1,Peer-to-peer payments,20216287,48250023720.99
Delhi,2019,1,Merchant payments,13875931,3996618719.8
Delhi,2019,1,Recharge & bill payments,10744978,5521320539.36
Delhi,2019,1,Financial Services,223095,30997039.7
Delhi,2019,1,Others,1947036,670171769.65
Delhi,2019,2,Merchant payments,20891431,6816878922.84
Delhi,2019,2,Peer-to-peer payments,20570311,65953571241.26
Delhi,2019,2,Recharge & bill payments,12869453,8035701902.39
Delhi,2019,2,Financial Services,137774,33985068.68
Delhi,2019,2,Others,2702543,866678928.44
Delhi,2019,3,Merchant payments,29453368,9857221391.94
Delhi,2019,3,Peer-to-peer payments,25201978,81904443496.3
Delhi,2019,3,Recharge & bill payments,11133404,10406524192.88
Delhi,2019,3,Financial Services,92061,27952186.99
Delhi,2019,3,Others,3657065,1000670778.35
Delhi,2019,4,Peer-to-peer payments,33040093,105858524152.38
Delhi,2019,4,Merchant payments,32537378,12864577363.07
Delhi,2019,4,Recharge & bill payments,11609898,9500486080.99
Delhi,2019,4,Financial Services,57063,21512527.97
Delhi,2019,4,Others,3500565,779367300.47
Delhi,2020,1,Merchant payments,33951545,14470782771.05
Delhi,2020,1,Peer-to-peer payments,32410795,108987600006.37
Delhi,2020,1,Recharge & bill payments,12822919,9498791147.93
Delhi,2020,1,Financial Services,46529,39908838.25
Delhi,2020,1,Others,2515816,619460878.99
Delhi,2020,2,Peer-to-peer payments,27155938,86227124454.1
Delhi,2020,2,Merchant payments,24963931,12708327043.87
Delhi,2020,2,Recharge & bill payments,13568505,8699886044.04
Delhi,2020,2,Financial Services,64790,75405868.16
Delhi,2020,2,Others,288854,162694793.16
Delhi,2020,3,Peer-to-peer payments,41498638,140074023548.16
Delhi,2020,3,Merchant payments,40973792,21858176583.06
Delhi,2020,3,Recharge & bill payments,13448341,12883226305.34
Delhi,2020,3,Financial Services,85689,114341865.26
Delhi,2020,3,Others,485401,234194502.84
Delhi,2020,4,Merchant payments,54581166,31106554562.8
Delhi,2020,4,Peer-to-peer payments,49631928,171546055992.15
Delhi,2020,4,Recharge & bill payments,14862946,12921793576.58
Delhi,2020,4,Financial Services,114862,160007919.77
Delhi,2020,4,Others,1349515,530676173.25
Delhi,2021,1,Merchant payments,72615587,39861532639.01
Delhi,2021,1,Peer-to-peer payments,61957428,210823551741.41
Delhi,2021,1,Recharge & bill payments,21164274,15447408658.78
Delhi,2021,1,Financial Services,153039,203106852.42
Delhi,2021,1,Others,1468676,592745151.87
Delhi,2021,2,Merchant payments,75620295,42933366743.24
Delhi,2021,2,Peer-to-peer payments,68497718,223034955527.75
Delhi,2021,2,Recharge & bill payments,25026678,15310096462.75
Delhi,2021,2,Financial Services,158170,190019761.5
Delhi,2021,2,Others,854403,472659189.31
Delhi,2021,3,Merchant payments,115250887,64006915630.53
Delhi,2021,3,Peer-to-peer payments,93292876,298005532606.47
Delhi,2021,3,Recharge & bill payments,28427032,20934734871.91
Delhi,2021,3,Financial Services,144460,220660990.22
Delhi,2021,3,Others,1645353,690472449.15
Delhi,2021,4,Merchant payments,149204611,88990516304.07
Delhi,2021,4,Peer-to-peer payments,112380292,376556972334.16
Delhi,2021,4,Recharge & bill payments,30127352,22290161823.25
Delhi,2021,4,Financial Services,199280,287950130.25
Delhi,2021,4,Others,771824,569713470.66
Delhi,2022,1,Merchant payments,174454937,98212381475.57
Delhi,2022,1,Peer-to-peer payments,125111881,415305045689.31
Delhi,2022,1,Recharge & bill payments,29435981,22482865572.9
Delhi,2022,1,Financial Services,195184,271039329.11
Delhi,2022,1,Others,1801878,693588769.39
Delhi,2022,2,Merchant payments,233412802,121657706565.01
Delhi,2022,2,Peer-to-peer payments,143447534,480685895058.71
Delhi,2022,2,Recharge & bill payments,32971294,26876059610.02
Delhi,2022,2,Financial Services,160827,209425798.82
Delhi,2022,2,Others,641727,426563425.65
Delhi,2022,3,Merchant payments,276635347,134292748569.06
Delhi,2022,3,Peer-to-peer payments,160580425,509428627035.34
Delhi,2022,3,Recharge & bill payments,37572389,33177115465.46
Delhi,2022,3,Financial Services,195218,265479580.42
Delhi,2022,3,Others,608782,448676465.83
Delhi,2022,4,Merchant payments,305621913,153114813286.24
Delhi,2022,4,Peer-to-peer payments,171970100,559069397370.86
Delhi,2022,4,Recharge & bill payments,36775874,31954251758.09
Delhi,2022,4,Financial Services,228639,299454652.78
Delhi,2022,4,Others,606931,477098950.6
Goa,2018,1,Recharge & bill payments,85991,18273814.16
Goa,2018,1,Peer-to-peer payments,59651,268175048.07
Goa,2018,1,Merchant payments,7880,11036031.74
Goa,2018,1,Financial Services,1191,520105.64
Goa,2018,1,Others,6184,5851742.73
Goa,2018,2,Recharge & bill payments,120943,30994284.17
Goa,2018,2,Peer-to-peer payments,87878,419492232.52
Goa,2018,2,Merchant payments,12456,20162855.71
Goa,2018,2,Financial Services,1903,733429.43
Goa,2018,2,Others,6395,7221023.53
Goa,2018,3,Recharge & bill payments,158797,40314972.94
Goa,2018,3,Peer-to-peer payments,150297,639468418.13
Goa,2018,3,Merchant payments,21587,26634198.18
Goa,2018,3,Financial Services,1867,468171.36
Goa,2018,3,Others,6963,6281208.62
Goa,2018,4,Peer-to-peer payments,246426,1021902315.44
Goa,2018,4,Recharge & bill payments,212122,54832855.89
Goa,2018,4,Merchant payments,45586,66666113.92
Goa,2018,4,Financial Services,2523,723599.23
Goa,2018,4,Others,8098,8880194.43
Goa,2019,1,Peer-to-peer payments,378848,1310759847.81
Goa,2019,1,Recharge & bill payments,275277,78212835.04
Goa,2019,1,Merchant payments,74527,75946974.41
Goa,2019,1,Financial Services,2013,499592.1
Goa,2019,1,Others,8147,9904147.91
Goa,2019,2,Peer-to-peer payments,373759,1391933790.75
Goa,2019,2,Recharge & bill payments,278060,93218689.42
Goa,2019,2,Merchant payments,104592,92873008.65
Goa,2019,2,Financial Services,1211,515859.81
Goa,2019,2,Others,10819,13325754.76
Goa,2019,3,Peer-to-peer payments,475178,1704668027.02
Goa,2019,3,Recharge & bill payments,453806,157952854.95
Goa,2019,3,Merchant payments,150578,123948570.57
Goa,2019,3,Financial Services,1510,1282344.84
Goa,2019,3,Others,11344,12515394.12
Goa,2019,4,Peer-to-peer payments,698728,2484453030.32
Goa,2019,4,Recharge & bill payments,552421,205602115.15
Goa,2019,4,Merchant payments,250893,218404664.86
Goa,2019,4,Financial Services,1497,649712.85
Goa,2019,4,Others,11733,14350825.33
Goa,2020,1,Peer-to-peer payments,817198,2851686768.65
Goa,2020,1,Recharge & bill payments,678079,244739382.21
Goa,2020,1,Merchant payments,373110,298421548.1
Goa,2020,1,Financial Services,1762,1816477.57
Goa,2020,1,Others,11088,13707055.39
Goa,2020,2,Recharge & bill payments,758617,241196540.94
Goa,2020,2,Peer-to-peer payments,493326,1766723888.2
Goa,2020,2,Merchant payments,221358,168591711.95
Goa,2020,2,Financial Services,3081,3328361.32
Goa,2020,2,Others,5710,3775927.61
Goa,2020,3,Peer-to-peer payments,759351,2723430713.34
Goa,2020,3,Recharge & bill payments,696770,280187505.03
Goa,2020,3,Merchant payments,446880,353193881.48
Goa,2020,3,Financial Services,4985,6418950.47
Goa,2020,3,Others,7545,5112530.62
Goa,2020,4,Peer-to-peer payments,1550251,5407626413.04
Goa,2020,4,Merchant payments,1389834,1123844212.52
Goa,2020,4,Recharge & bill payments,839199,345088772.38
Goa,2020,4,Financial Services,7287,10386560.39
Goa,2020,4,Others,14810,12846789.25
Goa,2021,1,Peer-to-peer payments,2235456,7553384653.17
Goa,2021,1,Merchant payments,2195509,1768358976.72
Goa,2021,1,Recharge & bill payments,880682,410604192.73
Goa,2021,1,Financial Services,8138,12207778.15
Goa,2021,1,Others,11764,12687278.26
Goa,2021,2,Merchant payments,1869384,1411529033.67
Goa,2021,2,Peer-to-peer payments,1866837,6195032351.18
Goa,2021,2,Recharge & bill payments,953219,383804809.36
Goa,2021,2,Financial Services,8303,12371843.84
Goa,2021,2,Others,12392,10115549.03
Goa,2021,3,Merchant payments,2865625,2143135314.9
Goa,2021,3,Peer-to-peer payments,2560305,7871092673.14
Goa,2021,3,Recharge & bill payments,1017351,438838003.23
Goa,2021,3,Financial Services,8337,12943224.07
Goa,2021,3,Others,16145,12416377.6
Goa,2021,4,Merchant payments,5474662,4384250602.94
Goa,2021,4,Peer-to-peer payments,4408822,13618351952.67
Goa,2021,4,Recharge & bill payments,1170180,585734312.41
Goa,2021,4,Financial Services,11320,17101084.66
Goa,2021,4,Others,23775,21819163.2
Goa,2022,1,Merchant payments,6364271,4682000388.39
Goa,2022,1,Peer-to-peer payments,4640380,14449830641.56
Goa,2022,1,Recharge & bill payments,1177071,646403472.11
Goa,2022,1,Financial Services,11677,17490493.19
Goa,2022,1,Others,20699,20720407.6
Goa,2022,2,Merchant payments,7812998,5736211013.69
Goa,2022,2,Peer-to-peer payments,5097942,16372343177.23
Goa,2022,2,Recharge & bill payments,1279377,738765635.28
Goa,2022,2,Financial Services,10666,13192736.03
Goa,2022,2,Others,15071,12525197.3
Goa,2022,3,Merchant payments,7595135,5112175255.36
Goa,2022,3,Peer-to-peer payments,4449008,13780955270.35
Goa,2022,3,Recharge & bill payments,1122869,657115143.54
Goa,2022,3,Financial Services,9992,12650738.42
Goa,2022,3,Others,11683,11368868.04
Goa,2022,4,Merchant payments,10319138,6739205748.43
Goa,2022,4,Peer-to-peer payments,5652373,17421974714.96
Goa,2022,4,Recharge & bill payments,1195865,734121700.64
Goa,2022,4,Financial Services,12147,15705663.13
Goa,2022,4,Others,13151,13978544.18
Gujarat,2018,1,Recharge & bill payments,3691952,878929080.99
Gujarat,2018,1,Peer-to-peer payments,1738974,6318864759.89
Gujarat,2018,1,Merchant payments,145436,166036667.57
Gujarat,2018,1,Financial Services,122117,27986679.01
Gujarat,2018,1,Others,250296,186165067.57
Gujarat,2018,2,Recharge & bill payments,4643367,1571880396.38
Gujarat,2018,2,Peer-to-peer payments,2483231,10009680530.39
Gujarat,2018,2,Merchant payments,275503,356984574.12
Gujarat,2018,2,Financial Services,140704,38598263.23
Gujarat,2018,2,Others,202928,185541007.53
Gujarat,2018,3,Peer-to-peer payments,5287200,15272745137.76
Gujarat,2018,3,Recharge & bill payments,5117168,1938041688.97
Gujarat,2018,3,Merchant payments,573440,466209496.8
Gujarat,2018,3,Financial Services,136468,24930605.61
Gujarat,2018,3,Others,219873,164477497.14
Gujarat,2018,4,Peer-to-peer payments,6488202,21207285184.78
Gujarat,2018,4,Recharge & bill payments,6138404,2297332323.08
Gujarat,2018,4,Merchant payments,1656377,1088373316.06
Gujarat,2018,4,Financial Services,133915,30699273.17
Gujarat,2018,4,Others,316405,207297005.7
Gujarat,2019,1,Peer-to-peer payments,13465044,31231285551.31
Gujarat,2019,1,Recharge & bill payments,8595256,3104251732.65
Gujarat,2019,1,Merchant payments,2493340,1296376125.18
Gujarat,2019,1,Financial Services,114539,19581520.57
Gujarat,2019,1,Others,323272,204585378.77
Gujarat,2019,2,Peer-to-peer payments,12547493,41853661230.47
Gujarat,2019,2,Recharge & bill payments,10434449,4651874823.43
Gujarat,2019,2,Merchant payments,5486791,2526448415.36
Gujarat,2019,2,Financial Services,70502,17349813.39
Gujarat,2019,2,Others,442607,271280936.62
Gujarat,2019,3,Peer-to-peer payments,14529353,49206585462.02
Gujarat,2019,3,Merchant payments,11788077,4211116461.29
Gujarat,2019,3,Recharge & bill payments,11349625,5768100024.48
Gujarat,2019,3,Financial Services,78609,20507001.23
Gujarat,2019,3,Others,482985,256386015.25
Gujarat,2019,4,Peer-to-peer payments,19107911,64477452638.78
Gujarat,2019,4,Recharge & bill payments,12967713,6517891166.72
Gujarat,2019,4,Merchant payments,9964076,5480269119.72
Gujarat,2019,4,Financial Services,63498,20202767.26
Gujarat,2019,4,Others,444434,194846362.43
Gujarat,2020,1,Peer-to-peer payments,19068093,72393727235.08
Gujarat,2020,1,Recharge & bill payments,15648472,7197595156.69
Gujarat,2020,1,Merchant payments,12191478,7210758662.28
Gujarat,2020,1,Financial Services,50753,27460255.46
Gujarat,2020,1,Others,367621,165535312.39
Gujarat,2020,2,Recharge & bill payments,19971660,8322688556.99
Gujarat,2020,2,Peer-to-peer payments,17569398,64723140394.23
Gujarat,2020,2,Merchant payments,9645967,7196610931.56
Gujarat,2020,2,Financial Services,59617,53132341.31
Gujarat,2020,2,Others,173543,92274135.41
Gujarat,2020,3,Peer-to-peer payments,23130724,89142122337.26
Gujarat,2020,3,Merchant payments,18338969,12749796641.79
Gujarat,2020,3,Recharge & bill payments,17481357,9820654243.81
Gujarat,2020,3,Financial Services,92278,84723188.62
Gujarat,2020,3,Others,246851,124456073.24
Gujarat,2020,4,Peer-to-peer payments,29967258,116743230330.36
Gujarat,2020,4,Merchant payments,28430460,20844321156.65
Gujarat,2020,4,Recharge & bill payments,18943669,10441981826.08
Gujarat,2020,4,Financial Services,113371,120056733.89
Gujarat,2020,4,Others,373789,243470065.46
Gujarat,2021,1,Peer-to-peer payments,36427493,144818968373.03
Gujarat,2021,1,Merchant payments,35815382,26512643894.0
Gujarat,2021,1,Recharge & bill payments,22088838,11996115292.38
Gujarat,2021,1,Financial Services,126380,137612317.74
Gujarat,2021,1,Others,316472,235440836.3
Gujarat,2021,2,Merchant payments,42593432,33542305033.83
Gujarat,2021,2,Peer-to-peer payments,41642387,162483567902.3
Gujarat,2021,2,Recharge & bill payments,27127405,13750783181.94
Gujarat,2021,2,Financial Services,128647,136119996.7
Gujarat,2021,2,Others,349525,249278437.34
Gujarat,2021,3,Merchant payments,62934471,48197579736.52
Gujarat,2021,3,Peer-to-peer payments,56134212,208013326600.62
Gujarat,2021,3,Recharge & bill payments,29580901,15945997372.06
Gujarat,2021,3,Financial Services,125167,163304131.14
Gujarat,2021,3,Others,473656,304418273.25
Gujarat,2021,4,Merchant payments,84846502,68717933161.87
Gujarat,2021,4,Peer-to-peer payments,67301686,254338740726.64
Gujarat,2021,4,Recharge & bill payments,30072479,18739034341.66
Gujarat,2021,4,Financial Services,175393,209214620.71
Gujarat,2021,4,Others,591265,377657202.75
Gujarat,2022,1,Merchant payments,101648378,79563412221.78
Gujarat,2022,1,Peer-to-peer payments,77768758,292439274688.31
Gujarat,2022,1,Recharge & bill payments,30473298,20042066374.66
Gujarat,2022,1,Financial Services,160423,187077879.38
Gujarat,2022,1,Others,496289,316261089.41
Gujarat,2022,2,Merchant payments,131610193,95585623258.24
Gujarat,2022,2,Peer-to-peer payments,86423696,326945780476.6
Gujarat,2022,2,Recharge & bill payments,33424931,23844933238.41
Gujarat,2022,2,Financial Services,125180,142685436.42
Gujarat,2022,2,Others,468796,278978567.18
Gujarat,2022,3,Merchant payments,161264265,109018764232.99
Gujarat,2022,3,Peer-to-peer payments,103034790,359338045092.01
Gujarat,2022,3,Recharge & bill payments,38383683,28649040040.5
Gujarat,2022,3,Financial Services,152053,162173602.85
Gujarat,2022,3,Others,404941,269479241.1
Gujarat,2022,4,Merchant payments,186533503,125585214989.03
Gujarat,2022,4,Peer-to-peer payments,114868478,411053364214.27
Gujarat,2022,4,Recharge & bill payments,39167297,30789927498.95
Gujarat,2022,4,Financial Services,179101,194314203.01
Gujarat,2022,4,Others,407639,295484431.28
Haryana,2018,1,Recharge & bill payments,2368002,535578755.08
Haryana,2018,1,Peer-to-peer payments,1607193,5814807510.69
Haryana,2018,1,Merchant payments,167816,173513595.35
Haryana,2018,1,Financial Services,128636,27501068.01
Haryana,2018,1,Others,209123,242110585.53
Haryana,2018,2,Recharge & bill payments,3054284,984897276.65
Haryana,2018,2,Peer-to-peer payments,2388953,9745924809.85
Haryana,2018,2,Merchant payments,369916,334118261.45
Haryana,2018,2,Financial Services,167570,38145882.44
Haryana,2018,2,Others,170208,217328211.72
Haryana,2018,3,Peer-to-peer payments,3753981,14429454356.35
Haryana,2018,3,Recharge & bill payments,3203386,1310467515.06
Haryana,2018,3,Merchant payments,1003057,427387637.93
Haryana,2018,3,Financial Services,100452,17323790.81
Haryana,2018,3,Others,201148,190505707.47
Haryana,2018,4,Peer-to-peer payments,5905032,22416919746.94
Haryana,2018,4,Recharge & bill payments,4116262,1671040703.73
Haryana,2018,4,Merchant payments,2413446,1013407379.9
Haryana,2018,4,Financial Services,120711,22252543.62
Haryana,2018,4,Others,394732,267255642.27
Haryana,2019,1,Peer-to-peer payments,12622225,30283578836.62
Haryana,2019,1,Recharge & bill payments,5576577,2202061874.54
Haryana,2019,1,Merchant payments,3361995,1292375556.32
Haryana,2019,1,Financial Services,101786,15201736.0
Haryana,2019,1,Others,473192,258437718.16
Haryana,2019,2,Peer-to-peer payments,10387562,37056084813.58
Haryana,2019,2,Recharge & bill payments,5902923,2838724048.09
Haryana,2019,2,Merchant payments,5738283,2292901816.14
Haryana,2019,2,Financial Services,57488,12080285.23
Haryana,2019,2,Others,655560,301748850.18
Haryana,2019,3,Peer-to-peer payments,11775288,43738290119.93
Haryana,2019,3,Merchant payments,9386779,3615636827.81
Haryana,2019,3,Recharge & bill payments,8289987,4817098564.82
Haryana,2019,3,Financial Services,61503,16715100.88
Haryana,2019,3,Others,829974,301378586.0
Haryana,2019,4,Peer-to-peer payments,15729819,58242027266.14
Haryana,2019,4,Merchant payments,11615667,5253780278.24
Haryana,2019,4,Recharge & bill payments,9648003,5637358525.76
Haryana,2019,4,Financial Services,41688,13756049.14
Haryana,2019,4,Others,790808,212797749.82
Haryana,2020,1,Peer-to-peer payments,17728235,68367245528.07
Haryana,2020,1,Merchant payments,14327020,7075196609.22
Haryana,2020,1,Recharge & bill payments,11346112,6331682016.52
Haryana,2020,1,Financial Services,34488,25266730.19
Haryana,2020,1,Others,600232,176823674.24
Haryana,2020,2,Peer-to-peer payments,17334369,66645492690.68
Haryana,2020,2,Recharge & bill payments,12740328,6547618491.53
Haryana,2020,2,Merchant payments,11527654,7393393677.76
Haryana,2020,2,Financial Services,48759,49209527.29
Haryana,2020,2,Others,129940,75550536.68
Haryana,2020,3,Peer-to-peer payments,24123449,88796356487.11
Haryana,2020,3,Merchant payments,20845136,12141560866.98
Haryana,2020,3,Recharge & bill payments,12716319,8452802892.5
Haryana,2020,3,Financial Services,66457,80854296.93
Haryana,2020,3,Others,186818,96375902.2
Haryana,2020,4,Merchant payments,34063692,21382305452.07
Haryana,2020,4,Peer-to-peer payments,33920789,128613933346.86
Haryana,2020,4,Recharge & bill payments,14682896,9675471300.73
Haryana,2020,4,Financial Services,84881,103265693.75
Haryana,2020,4,Others,419181,223528573.13
Haryana,2021,1,Merchant payments,39363588,23389100227.16
Haryana,2021,1,Peer-to-peer payments,36764622,135970636784.62
Haryana,2021,1,Recharge & bill payments,13680353,9260346909.44
Haryana,2021,1,Financial Services,79784,99672809.99
Haryana,2021,1,Others,364437,218544351.22
Haryana,2021,2,Merchant payments,45335533,29119078263.96
Haryana,2021,2,Peer-to-peer payments,44086559,161073685336.67
Haryana,2021,2,Recharge & bill payments,15861047,9839496894.97
Haryana,2021,2,Financial Services,85821,97238136.1
Haryana,2021,2,Others,311896,227855606.99
Haryana,2021,3,Merchant payments,66885213,40190922826.61
Haryana,2021,3,Peer-to-peer payments,55929958,188548678300.52
Haryana,2021,3,Recharge & bill payments,17087955,11681457468.96
Haryana,2021,3,Financial Services,77496,116592181.47
Haryana,2021,3,Others,479071,289441481.64
Haryana,2021,4,Merchant payments,84993587,56325102920.51
Haryana,2021,4,Peer-to-peer payments,66548306,238638993818.1
Haryana,2021,4,Recharge & bill payments,17632752,13817258646.07
Haryana,2021,4,Financial Services,105050,151421306.62
Haryana,2021,4,Others,407280,307822609.17
Haryana,2022,1,Merchant payments,98346418,62565728158.29
Haryana,2022,1,Peer-to-peer payments,74499889,263547240999.68
Haryana,2022,1,Recharge & bill payments,18494827,14765350795.97
Haryana,2022,1,Financial Services,107240,146586164.63
Haryana,2022,1,Others,540235,279136534.21
Haryana,2022,2,Merchant payments,130033573,76926347115.76
Haryana,2022,2,Peer-to-peer payments,84219451,300504797205.27
Haryana,2022,2,Recharge & bill payments,20011709,17457331653.45
Haryana,2022,2,Financial Services,89805,120610061.53
Haryana,2022,2,Others,345424,224949213.5
Haryana,2022,3,Merchant payments,151278013,87063736519.87
Haryana,2022,3,Peer-to-peer payments,95071203,319374569105.9
Haryana,2022,3,Recharge & bill payments,22592966,21247984018.68
Haryana,2022,3,Financial Services,111032,144937203.29
Haryana,2022,3,Others,308596,223267730.28
Haryana,2022,4,Merchant payments,169685872,102918159834.12
Haryana,2022,4,Peer-to-peer payments,102993798,364514204185.19
Haryana,2022,4,Recharge & bill payments,23545059,22666085169.85
Haryana,2022,4,Financial Services,118488,152488074.99
Haryana,2022,4,Others,305148,239722615.95
Himachal Pradesh,2018,1,Recharge & bill payments,284371,49871175.83
Himachal Pradesh,2018,1,Peer-to-peer payments,154572,546222027.48
Himachal Pradesh,2018,1,Merchant payments,13241,13851230.83
Himachal Pradesh,2018,1,Financial Services,8955,2040522.72
Himachal Pradesh,2018,1,Others,20779,16752849.5
Himachal Pradesh,2018,2,Recharge & bill payments,385642,83714322.41
Himachal Pradesh,2018,2,Peer-to-peer payments,243436,1043702964.15
Himachal Pradesh,2018,2,Merchant payments,27851,31961300.88
Himachal Pradesh,2018,2,Financial Services,11330,4108919.31
Himachal Pradesh,2018,2,Others,19436,19681794.6
Himachal Pradesh,2018,3,Recharge & bill payments,457449,108456077.52
Himachal Pradesh,2018,3,Peer-to-peer payments,362755,1596570994.99
Himachal Pradesh,2018,3,Merchant payments,40675,31168155.22
Himachal Pradesh,2018,3,Financial Services,8182,1552275.05
Himachal Pradesh,2018,3,Others,17693,16293930.08
Himachal Pradesh,2018,4,Recharge & bill payments,598325,143031082.44
Himachal Pradesh,2018,4,Peer-to-peer payments,590518,2367228879.45
Himachal Pradesh,2018,4,Merchant payments,86963,87575811.8
Himachal Pradesh,2018,4,Financial Services,11834,2283052.79
Himachal Pradesh,2018,4,Others,20243,21180141.66
Himachal Pradesh,2019,1,Peer-to-peer payments,1178280,3066233587.92
Himachal Pradesh,2019,1,Recharge & bill payments,844570,209521987.04
Himachal Pradesh,2019,1,Merchant payments,115553,86624660.31
Himachal Pradesh,2019,1,Financial Services,9585,1424230.0
Himachal Pradesh,2019,1,Others,20730,17676977.72
Himachal Pradesh,2019,2,Peer-to-peer payments,1141873,4428007670.96
Himachal Pradesh,2019,2,Recharge & bill payments,1076793,279864579.98
Himachal Pradesh,2019,2,Merchant payments,248517,141088575.87
Himachal Pradesh,2019,2,Financial Services,5013,1453651.54
Himachal Pradesh,2019,2,Others,30110,25469495.27
Himachal Pradesh,2019,3,Recharge & bill payments,1212659,327570067.0
Himachal Pradesh,2019,3,Peer-to-peer payments,1181680,5039276845.3
Himachal Pradesh,2019,3,Merchant payments,312575,182746198.16
Himachal Pradesh,2019,3,Financial Services,3096,1775673.97
Himachal Pradesh,2019,3,Others,25170,20649996.7
Himachal Pradesh,2019,4,Peer-to-peer payments,1579582,6533855301.07
Himachal Pradesh,2019,4,Recharge & bill payments,1442940,402619114.99
Himachal Pradesh,2019,4,Merchant payments,467309,314965060.64
Himachal Pradesh,2019,4,Financial Services,4576,1769641.97
Himachal Pradesh,2019,4,Others,22239,17954418.58
Himachal Pradesh,2020,1,Recharge & bill payments,1815157,542356756.97
Himachal Pradesh,2020,1,Peer-to-peer payments,1594806,6431826925.12
Himachal Pradesh,2020,1,Merchant payments,711018,427497010.1
Himachal Pradesh,2020,1,Financial Services,4711,3172303.69
Himachal Pradesh,2020,1,Others,18788,14613755.24
Himachal Pradesh,2020,2,Recharge & bill payments,2558935,802231470.16
Himachal Pradesh,2020,2,Peer-to-peer payments,1544488,6738488218.64
